Index,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,S_octet1,S_octet2,S_octet3,S_octet4,D_octet1,D_octet2,D_octet3,D_octet4
237,192.168.0.24,50966,104.70.122.58,443,6,20/05/2019 4:59,470,0,3,0,4344,0,0,0,0,1448,1448,1448,0,9242553.191,6382.978723,235,21.21320344,250,220,0,0,0,0,0,470,235,21.21320344,250,220,0,0,0,0,0,96,0,6382.978723,1448,1448,1448,0,0,0,0,0,0,1,0,0,0,0,1930.666667,0,1448,0,0,0,0,0,0,0,0,3,4344,-1,511,0,0,0,0,0,0,235,21.21320344,250,220,Normal,Normal,192,168,0,24,104,70,122,58
254,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,382,1,1,1388,1388,1388,1388,1388,0,1388,1388,1388,0,7267015.707,5235.602094,382,0,382,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2617.801047,2617.801047,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,1,2082,1388,1388,0,0,0,0,0,0,1,1388,1,1388,-1,1869,1,0,0,0,0,0,382,0,382,382,Normal,Normal,192,168,0,13,192,168,0,16
264,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,385,0,2,0,0,0,0,0,0,0,0,0,0,0,5194.805195,385,0,385,385,0,0,0,0,0,385,385,0,385,385,0,0,0,0,0,64,0,5194.805195,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32764,0,0,0,0,0,0,385,0,385,385,Normal,Normal,192,168,0,13,192,168,0,16
279,192.168.0.16,49796,192.168.0.13,9020,6,20/05/2019 5:00,393,1,1,0,0,0,0,0,0,0,0,0,0,0,5089.058524,393,0,393,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2544.529262,2544.529262,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,32626,0,0,0,0,0,0,393,0,393,393,Normal,Normal,192,168,0,16,192,168,0,13
314,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 5:00,79,0,2,0,0,0,0,0,0,0,0,0,0,0,25316.4557,79,0,79,79,0,0,0,0,0,79,79,0,79,79,0,0,0,0,0,64,0,25316.4557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32768,0,0,0,0,0,0,79,0,79,79,Normal,Normal,192,168,0,13,192,168,0,16
342,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,449,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,6249443.207,6681.514477,224.5,201.5254326,367,82,367,367,0,367,367,0,0,0,0,0,0,0,0,0,64,32,4454.342984,2227.171492,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,224.5,201.5254326,367,82,Normal,Normal,192,168,0,13,192,168,0,16
344,192.168.0.16,49793,192.168.0.13,9020,6,20/05/2019 5:00,290,4,1,0,0,0,0,0,0,0,0,0,0,0,17241.37931,72.5,0.577350269,73,72,217,72.33333333,0.577350269,73,72,0,0,0,0,0,0,0,0,0,128,32,13793.10345,3448.275862,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,32679,0,0,0,0,0,0,72.5,0.577350269,73,72,Normal,Normal,192,168,0,16,192,168,0,13
345,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,412,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,6810679.612,7281.553398,206,123.0365799,293,119,293,293,0,293,293,0,0,0,0,0,0,0,0,0,64,32,4854.368932,2427.184466,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,206,123.0365799,293,119,Normal,Normal,192,168,0,13,192,168,0,16
366,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,177,1,1,1388,1388,1388,1388,1388,0,1388,1388,1388,0,15683615.82,11299.43503,177,0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5649.717514,5649.717514,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,1,2082,1388,1388,0,0,0,0,0,0,1,1388,1,1388,-1,1869,1,0,0,0,0,0,177,0,177,177,Normal,Normal,192,168,0,13,192,168,0,16
370,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,209,2,1,2776,1388,1388,1388,1388,0,1388,1388,1388,0,19923444.98,14354.06699,104.5,36.06244584,130,79,130,130,0,130,130,0,0,0,0,0,0,0,0,0,64,32,9569.37799,4784.688995,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,1850.666667,1388,1388,0,0,0,0,0,0,2,2776,1,1388,-1,1869,2,0,0,0,0,0,104.5,36.06244584,130,79,Normal,Normal,192,168,0,13,192,168,0,16
372,192.168.0.24,50966,104.70.122.58,443,6,20/05/2019 5:00,78,0,2,0,2896,0,0,0,0,1448,1448,1448,0,37128205.13,25641.02564,78,0,78,78,0,0,0,0,0,78,78,0,78,78,0,0,0,0,0,64,0,25641.02564,1448,1448,1448,0,0,0,0,0,0,1,0,0,0,0,2172,0,1448,0,0,0,0,0,0,0,0,2,2896,-1,562,0,0,0,0,0,0,78,0,78,78,Normal,Normal,192,168,0,24,104,70,122,58
389,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,155,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,18103225.81,19354.83871,77.5,6.363961031,82,73,73,73,0,73,73,0,0,0,0,0,0,0,0,0,64,32,12903.22581,6451.612903,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,77.5,6.363961031,82,73,Normal,Normal,192,168,0,13,192,168,0,16
427,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,248,2,1,2776,1388,1388,1388,1388,0,1388,1388,1388,0,16790322.58,12096.77419,124,11.3137085,132,116,132,132,0,132,132,0,0,0,0,0,0,0,0,0,64,32,8064.516129,4032.258065,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,1850.666667,1388,1388,0,0,0,0,0,0,2,2776,1,1388,-1,1869,2,0,0,0,0,0,124,11.3137085,132,116,Normal,Normal,192,168,0,13,192,168,0,16
435,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,490,4,1,4194,1388,1388,30,1048.5,679,1388,1388,1388,0,11391836.73,10204.08163,122.5,59.20867054,196,74,294,98,40.70626487,145,74,0,0,0,0,0,0,0,0,0,128,32,8163.265306,2040.816327,30,1388,1161.666667,554.4011784,307360.6667,0,0,0,0,1,0,0,0,0,1394,1048.5,1388,0,0,0,0,0,0,4,4194,1,1388,-1,1869,4,0,0,0,0,0,122.5,59.20867054,196,74,Normal,Normal,192,168,0,13,192,168,0,16
448,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,377,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,7442970.822,7957.559682,188.5,164.75588,305,72,305,305,0,305,305,0,0,0,0,0,0,0,0,0,64,32,5305.039788,2652.519894,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,188.5,164.75588,305,72,Normal,Normal,192,168,0,13,192,168,0,16
451,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,409,0,2,0,0,0,0,0,0,0,0,0,0,0,4889.97555,409,0,409,409,0,0,0,0,0,409,409,0,409,409,0,0,0,0,0,64,0,4889.97555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32763,0,0,0,0,0,0,409,0,409,409,Normal,Normal,192,168,0,13,192,168,0,16
502,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,303,3,1,2806,1388,1388,30,935.3333333,784.0416656,1388,1388,1388,0,13841584.16,13201.32013,101,22.86919325,118,75,228,114,5.656854249,118,110,0,0,0,0,0,0,0,0,0,96,32,9900.990099,3300.330033,30,1388,1116.4,607.3160627,368832.8,0,0,0,0,1,0,0,0,0,1395.5,935.3333333,1388,0,0,0,0,0,0,3,2806,1,1388,-1,1869,3,0,0,0,0,0,101,22.86919325,118,75,Normal,Normal,192,168,0,13,192,168,0,16
517,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,376,0,2,0,0,0,0,0,0,0,0,0,0,0,5319.148936,376,0,376,376,0,0,0,0,0,376,376,0,376,376,0,0,0,0,0,64,0,5319.148936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32700,0,0,0,0,0,0,376,0,376,376,Normal,Normal,192,168,0,13,192,168,0,16
529,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,339,0,2,0,0,0,0,0,0,0,0,0,0,0,5899.705015,339,0,339,339,0,0,0,0,0,339,339,0,339,339,0,0,0,0,0,64,0,5899.705015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32726,0,0,0,0,0,0,339,0,339,339,Normal,Normal,192,168,0,13,192,168,0,16
540,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,252,1,1,30,1388,30,30,30,0,1388,1388,1388,0,5626984.127,7936.507937,252,0,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3968.253968,3968.253968,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,252,0,252,252,Normal,Normal,192,168,0,13,192,168,0,16
543,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,116,1,1,1388,1388,1388,1388,1388,0,1388,1388,1388,0,23931034.48,17241.37931,116,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8620.689655,8620.689655,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,1,2082,1388,1388,0,0,0,0,0,0,1,1388,1,1388,-1,1869,1,0,0,0,0,0,116,0,116,116,Normal,Normal,192,168,0,13,192,168,0,16
558,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,175,1,1,1388,1388,1388,1388,1388,0,1388,1388,1388,0,15862857.14,11428.57143,175,0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5714.285714,5714.285714,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,1,2082,1388,1388,0,0,0,0,0,0,1,1388,1,1388,-1,1869,1,0,0,0,0,0,175,0,175,175,Normal,Normal,192,168,0,13,192,168,0,16
566,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,123,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11528455.28,16260.1626,123,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8130.081301,8130.081301,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,123,0,123,123,Normal,Normal,192,168,0,13,192,168,0,16
580,192.168.0.16,49793,192.168.0.13,9020,6,20/05/2019 5:00,429,0,4,0,4194,0,0,0,0,1388,30,1048.5,679,9776223.776,9324.009324,143,82.63776376,236,78,0,0,0,0,0,429,143,82.63776376,236,78,0,0,0,0,0,128,0,9324.009324,30,1388,1116.4,607.3160627,368832.8,0,0,0,0,1,0,0,0,0,1395.5,0,1048.5,0,0,0,0,0,0,0,0,4,4194,-1,1869,0,0,0,0,0,0,143,82.63776376,236,78,Normal,Normal,192,168,0,16,192,168,0,13
636,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,460,2,1,2776,1388,1388,1388,1388,0,1388,1388,1388,0,9052173.913,6521.73913,230,12.72792206,239,221,221,221,0,221,221,0,0,0,0,0,0,0,0,0,64,32,4347.826087,2173.913043,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,1850.666667,1388,1388,0,0,0,0,0,0,2,2776,1,1388,-1,1869,2,0,0,0,0,0,230,12.72792206,239,221,Normal,Normal,192,168,0,13,192,168,0,16
654,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,284,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,9880281.69,10563.38028,142,97.5807358,211,73,211,211,0,211,211,0,0,0,0,0,0,0,0,0,64,32,7042.253521,3521.126761,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,142,97.5807358,211,73,Normal,Normal,192,168,0,13,192,168,0,16
682,192.168.0.24,50966,104.70.122.58,443,6,20/05/2019 5:00,364,0,4,0,5792,0,0,0,0,1448,1448,1448,0,15912087.91,10989.01099,121.3333333,11.37248141,134,112,0,0,0,0,0,364,121.3333333,11.37248141,134,112,0,0,0,0,0,128,0,10989.01099,1448,1448,1448,0,0,0,0,0,0,1,0,0,0,0,1810,0,1448,0,0,0,0,0,0,0,0,4,5792,-1,620,0,0,0,0,0,0,121.3333333,11.37248141,134,112,Normal,Normal,192,168,0,24,104,70,122,58
684,192.168.0.1,80,192.168.0.14,53229,6,20/05/2019 5:00,80,1,1,952,1448,952,952,952,0,1448,1448,1448,0,30000000,25000,80,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12500,12500,952,1448,1282.666667,286.3657335,82005.33333,0,0,0,0,1,0,0,0,1,1924,952,1448,0,0,0,0,0,0,1,952,1,1448,-1,4344,1,0,0,0,0,0,80,0,80,80,Normal,Normal,192,168,0,1,192,168,0,14
691,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,450,3,1,2806,1388,1388,30,935.3333333,784.0416656,1388,1388,1388,0,9320000,8888.888889,150,66.50563886,217,84,366,183,48.08326112,217,149,0,0,0,0,0,0,0,0,0,96,32,6666.666667,2222.222222,30,1388,1116.4,607.3160627,368832.8,0,0,0,0,1,0,0,0,0,1395.5,935.3333333,1388,0,0,0,0,0,0,3,2806,1,1388,-1,1869,3,0,0,0,0,0,150,66.50563886,217,84,Normal,Normal,192,168,0,13,192,168,0,16
694,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,443,0,2,0,0,0,0,0,0,0,0,0,0,0,4514.672686,443,0,443,443,0,0,0,0,0,443,443,0,443,443,0,0,0,0,0,64,0,4514.672686,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32757,0,0,0,0,0,0,443,0,443,443,Normal,Normal,192,168,0,13,192,168,0,16
