Id,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,S_octet1,S_octet2,S_octet3,S_octet4,D_octet1,D_octet2,D_octet3,D_octet4
19,192.168.0.15,9022,192.168.0.18,49784,6,22/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
20,192.168.0.16,9023,192.168.0.19,49784,6,23/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
3,192.168.0.16,52964,192.168.0.13,9020,6,04/09/2019 3:58,151,0,2,0,2776,0,0,0,0,1388,1388,1388,0,18384105.96,13245.03311,151,0,151,151,0,0,0,0,0,151,151,0,151,151,0,0,0,0,0,64,0,13245.03311,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,2082,0,1388,0,0,0,0,0,0,0,0,2,2776,-1,1869,0,0,0,0,0,0,151,0,151,151,Anomaly,Mirai,192,168,0,16,192,168,0,13
4,192.168.0.1,36763,239.255.255.250,1900,17,10/09/2019 1:41,153,2,1,886,420,452,434,443,12.72792206,420,420,420,0,8535947.712,19607.84314,76.5,0.707106781,77,76,76,76,0,76,76,0,0,0,0,0,0,0,0,0,16,8,13071.89542,6535.947712,420,452,431.5,15.17673658,230.3333333,0,0,0,0,0,0,0,0,0,575.3333333,443,420,0,0,0,0,0,0,2,886,1,420,-1,-1,2,0,0,0,0,0,76.5,0.707106781,77,76,Anomaly,Mirai,192,168,0,1,239,255,255,250
21,192.168.0.17,9024,192.168.0.20,49784,6,24/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
22,192.168.0.18,9025,192.168.0.21,49784,6,25/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
23,192.168.0.19,9026,192.168.0.22,49784,6,26/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
24,192.168.0.20,9027,192.168.0.23,49784,6,27/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
25,192.168.0.21,9028,192.168.0.24,49784,6,28/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
